STATION,NAME,DATE,SNOW
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/1/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/2/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/3/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/4/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/5/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/6/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/7/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/8/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/9/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/10/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/11/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/12/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/13/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/14/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/15/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/16/1981,0.2
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/17/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/18/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/19/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/20/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/21/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/22/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/23/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/24/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/25/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/26/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/27/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/28/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/29/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/30/1981,0.2
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",1/31/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/1/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/2/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/3/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/4/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/5/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/6/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/7/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/8/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/9/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/10/1981,1.6
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/11/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/12/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/13/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/14/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/15/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/16/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/17/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/18/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/19/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/20/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/21/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/22/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/23/1981,0
USC00256075,"NORTH PLATTE EXPERIMENTAL FARM, NE US",2/24/1981,0
